exchange	mda	substrate
EX_leu__L_e	47.4016322286296	L-Leucine
EX_met__L_e	45.8437259797166	L-Methionine
EX_cys__L_e	44.0743796668369	L-Cysteine
EX_ile__L_e	43.8587281128457	L-Isoleucine
EX_arg__L_e	40.8276874640822	L-Arginine
EX_phe__L_e	40.3694327648157	L-Phenylalanine
EX_trp__L_e	34.8540893867249	L-Tryptophan
EX_lys__L_e	34.7171845621999	L-Lysine
EX_tyr__L_e	32.267867067264	L-Tyrosine
EX_ser__L_e	13.5211967668331	L-Serine
EX_gly_e	11.5838951744584	L-Glycine
EX_val__L_e	1.87665938731477	L-Valine
EX_pro__L_e	1.56613111771263	L-Proline
EX_his__L_e	1.54026134285659	L-Histidine
